time (sec),X vibration (m/s^2),Y vibration (m/s^2),Z vibration (m/s^2)
12.5008,0.0114955,0.0103812,0.0196222
12.5108,0.00760525,-0.00772653,0.020818
12.5208,0.0040143,-0.0223926,-0.00177849
12.5308,-0.00406573,-9.8335e-05,0.028746
12.5408,-0.00825518,0.0066337,-0.0142011
12.5508,-0.0119957,0.0172563,-0.0240785
12.5608,-0.0471599,0.000944329,-0.0200397
12.5708,-0.00960066,0.00258877,-0.0197419
12.5808,-0.0185784,-0.00609171,0.0019539
12.5908,-0.0127421,0.0130602,0.0113795
12.6008,-0.0100481,0.0126098,0.0639004
12.6108,-0.00361321,0.00288194,0.0227488
12.6208,-0.00899957,-0.000710818,0.00718499
12.6308,-0.008999,-0.000712284,0.00718338
12.6408,0.00491781,-0.00625029,-0.00299354
12.6508,0.0224259,-0.0146314,-0.0151158
12.6608,0.00132781,-0.0209175,0.0157077
12.6708,0.0103067,-0.00700272,-0.00269928
12.6808,0.0138986,0.0134961,-0.00524481
12.6908,0.00492117,0.00137419,-0.0320315
12.7008,0.00462264,0.0081065,0.0272229
12.7108,-0.000763513,0.0104994,0.0131553
12.7208,0.00507311,0.00361476,-0.00779566
12.7308,0.0113587,-0.008956,0.0358964
12.7408,-0.00180853,0.00106838,0.0296099
12.7508,-0.000909847,0.00884823,0.00581584
12.7608,0.00387941,0.00196371,-0.00944894
12.7708,0.0128585,-0.00626752,-0.0226188
12.7808,0.00358198,-0.0119549,-0.022471
12.7908,-0.0160195,-0.0119561,-0.0188817
12.8008,0.0088212,-0.00597178,0.0111934
12.8108,-0.00733855,-0.00417728,0.00206367
12.8208,-0.00778644,-0.00537549,-0.0205334
12.8308,-0.0124241,0.00868925,0.0261513
12.8408,-0.0333722,0.0209584,0.0237552
12.8508,-0.0089803,0.0125777,-0.00333099
12.8608,-0.0140668,0.00539406,-0.000340219
12.8708,-0.00254366,-0.000592421,0.0177638
12.8808,-0.0145134,-0.0118162,-0.00154127
12.8908,0.0019478,-0.000594398,-0.0317699
12.9008,-0.00134299,-0.0275299,-0.000348165
12.9108,0.00180061,-0.0273812,-0.0316242
12.9208,-0.00882233,-0.00299139,-0.0269875
12.9308,-0.0198942,0.00299318,-0.0055915
12.9408,-0.0119621,0.00658359,0.049772
12.9508,-0.00971623,-0.00613638,-0.0093365
12.9608,0.0155737,-0.00464084,0.0195413
12.9708,0.00629762,0.00777819,0.0337547
12.9808,0.00495228,0.0172045,0.0249241
12.9908,-0.00312668,0.0170541,-0.0302939
13.0008,0.0271014,0.00852409,0.00831029
13.0108,0.00570478,-0.0173638,-0.0172797
13.0208,0.0182757,-0.00674026,-0.0023181
13.0308,0.0142371,-0.0296353,-0.0207255
13.0408,0.000472012,-0.0251469,-0.00127487
13.0508,-0.00880391,-0.0239504,0.000219374
13.0608,-0.00132052,-0.0149728,0.0367286
13.0708,-0.00341384,0.0131583,-0.00592
13.0808,-0.0093977,0.0219863,0.0204139
13.0908,-0.0206188,0.0242303,0.0238534
13.1008,-0.0134346,0.018394,0.0268439
13.1108,-0.00714822,0.0029809,-0.00114027
13.1208,-0.014778,0.0028308,-0.0101207
13.1308,-0.014477,-0.00569892,-0.000246827
13.1408,-0.0176177,-0.0112359,-0.00264321
13.1508,-0.0128276,-0.0172217,-0.0577117
13.1608,0.0145577,-0.00555046,-0.021053
13.1708,0.00662872,0.000285032,0.00468231
13.1808,0.0154591,-0.0170731,0.0121619
13.1908,0.0168076,-0.00719741,-0.0051982
13.2008,0.00798087,-0.00540204,0.0130552
13.2108,0.0204026,0.0219812,0.0639294
13.2208,0.00349547,0.00552098,-0.0236103
13.2308,0.00589153,0.0121048,-0.0245104
13.2408,0.0121781,0.00447316,-0.00191762
13.2508,0.0111326,-0.00899428,-0.00670832
13.2608,0.0114338,-0.00974258,-0.0222729
13.2708,0.0024575,-0.0106405,-0.0122496
13.2808,-0.00517202,-0.00734855,-0.00716427
13.2908,0.0192207,-0.0033084,-0.0139003
13.3008,0.0198212,0.0180896,0.0133312
13.3108,-0.00531577,0.00133033,0.0179675
13.3208,-0.0121971,0.0107575,-0.000589846
13.3308,-0.0118958,0.033203,-0.00403392
13.3408,-0.0078536,0.00881235,0.0312779
13.3508,-0.00515813,-0.0107899,-0.0221449
13.3608,-0.0157803,-0.0136329,-0.0128699
13.3708,-0.012187,-0.00480416,-0.0257411
13.3808,-0.00829439,-0.0187202,-0.0164661
13.3908,-0.00904052,-0.00719793,-0.0116803
13.4008,-0.00604573,-0.00914296,0.0130072
13.4108,0.0146062,-0.00525214,0.0414356
13.4208,-0.00289922,-0.0118358,-0.0185713
13.4308,0.0095227,0.00522305,0.0336493
13.4408,-0.00932943,0.00297885,0.0300555
13.4508,0.0137167,0.00477487,-0.0306996
13.4608,0.014467,-0.00240728,0.00685651
13.4708,0.0218013,-0.0119836,0.00909841
13.4808,-0.00363485,-0.0157241,-0.0155943
13.4908,-0.0206913,-0.00524901,-0.053904
13.5008,0.0239025,-0.0116829,0.0168714
13.5108,0.013879,0.0023835,0.00908761
13.5208,0.0249542,-0.00539704,-0.0030357
13.5308,0.0179234,0.0118118,0.00953102
13.5408,0.0144838,0.0269257,-0.000198141
13.5508,0.0113436,0.0207912,0.0102736
13.5608,0.0155355,0.0140582,-0.0229485
13.5708,0.0249647,0.0278255,-0.0253455
13.5808,-0.0101977,-0.000754386,0.0235828
13.5908,-0.00121743,-0.0140713,0.0144521
13.6008,-0.0109417,-0.0116763,-0.0114379
13.6108,-0.0148301,-0.0222998,-0.0279008
13.6208,-0.0266493,-0.0188573,0.00785944
13.6308,-0.0151252,0.00493577,0.0124953
13.6408,0.00343183,0.000597179,0.0156347
13.6508,-0.00988373,0.0119705,-0.0017261
13.6608,0.00717693,0.0134677,0.00844622
13.6708,-0.00254736,-0.00867754,0.0150273
13.6808,0.00538546,0.00703527,-0.0183447
13.6908,0.00673427,-0.0176538,-0.00892059
13.7008,0.00987871,-0.0158571,0.00364587
13.7108,0.00299749,-0.011367,-0.00324044
13.7208,0.00105428,-0.0287238,-0.0406526
13.7308,0.00389943,-0.0136094,0.00288858
13.7408,0.00824094,0.00764008,0.0379005
13.7508,-0.00178268,0.0100354,-0.00609574
13.7608,0.00615009,0.00854017,-0.0204639
13.7708,0.011539,0.0118333,0.0226283
13.7808,0.00540595,0.0127323,0.00541703
13.7908,0.01693,0.000612976,-0.00416281
13.8008,0.0104976,0.019618,-0.0376845
13.8108,0.00601049,0.0182726,0.0157326
13.8208,0.0272609,0.00585398,-0.0170409
13.8308,0.00436843,-0.0216779,0.00360584
13.8408,0.014845,-0.0120998,-0.00103602
13.8508,-0.0168761,-0.0167373,-0.0032837
13.8608,-0.0069981,-0.0164367,-0.032466
13.8708,0.00991276,0.00152107,0.00164805
13.8808,-0.00549789,-0.00296667,0.01601
13.8908,-0.00489745,0.00840709,0.00448489
13.9008,-0.0114796,0.0137954,0.0125621
13.9108,-0.013423,-0.00371069,0.00163553
13.9208,-0.00968018,0.0121522,-0.0182693
13.9308,-0.0149156,-0.0117882,-0.00824674
13.9408,0.000947712,-0.0116372,-0.00690313
13.9508,-0.0189521,-0.016873,-0.00735515
13.9608,-0.0259832,-0.00265607,0.00102139
13.9708,-0.00757614,-0.0194139,-0.0178359
13.9808,0.000805296,-0.00594513,-0.00721483
13.9908,0.00155525,-0.00384874,0.00535156
14.0008,-0.00577519,0.0181493,0.0173194
14.0108,-0.00412745,0.000942612,0.0098345
14.0208,0.00889265,0.00588212,-0.00588041
14.0308,0.00350744,0.00348944,-0.0199493
14.0408,0.030743,0.0132173,0.0207488
14.0508,0.00770063,0.000948635,-0.00499171
14.0608,0.0180272,-0.00159367,-0.0223526
14.0708,0.0261092,-0.00278925,-0.00739192
14.0808,0.0156363,0.00499337,0.0036782
14.0908,0.0156379,0.00499489,0.00367523
14.1008,0.00262109,-0.00652562,-0.00575484
14.1108,-0.0192243,0.0114323,0.0138446
14.1208,-0.0201206,-0.00517586,-0.0147389
14.1308,-0.0311921,0.021461,0.0190761
14.1408,-0.0223621,0.00320681,6.93116e-05
14.1508,-0.0277475,0.00859523,-0.0119045
14.1609,-0.0205635,-0.00352384,-0.00652043
14.1709,-0.00948893,-0.00711363,0.00873966
14.1809,-0.0178671,-0.00636397,-0.0101174
14.1909,-0.0229534,-0.00606322,0.00619022
14.2009,-0.00634234,-0.00606175,0.00424217
14.2109,0.00577959,-0.0124947,-0.0298777
14.2209,0.0144599,7.62592e-05,0.00707977
14.2309,0.0123663,0.0222239,0.01411
14.2409,0.00757919,-0.0108443,0.00572763
14.2509,0.000397909,-0.0130875,-0.01283
14.2609,0.0179066,-0.00141443,-0.00699681
14.2709,0.00653549,0.0187879,0.00452259
14.2809,0.0400553,0.0231287,-0.0180751
14.2909,0.0152168,0.0108599,0.00795904
14.3009,-0.00453407,-0.0120332,0.00885431
14.3109,0.0105804,-0.00110836,-0.00850607
14.3209,0.00130401,0.00532732,-0.0263153
14.3309,0.000856185,0.00473007,-0.0113542
14.3409,-0.00662458,0.00966935,0.0417644
14.3509,-0.0141054,0.00488224,-0.0270709
14.3609,-0.00617362,0.0247851,0.007792
14.3709,0.00205738,0.0222425,0.000457419
14.3809,-0.0118579,0.0264336,-0.000891677
14.3909,-0.0289155,0.00458779,-0.00373712
14.4009,-0.0111078,0.000848026,-0.00209343
14.4109,-0.00586965,0.00698426,0.00792993
14.4209,-0.0114053,-0.0108214,-0.0125726
14.4309,0.0171761,-0.00408666,0.00882323
14.4409,-0.0118526,-0.00378632,-0.00943466
14.4509,-0.000329789,-0.0103693,0.00522752
14.4609,0.00371116,-0.00528064,-0.00659595
14.4709,0.00610609,0.00504528,-0.00180973
14.4809,0.0349867,-0.00512905,0.000731961
14.4909,-0.00646199,-0.00318284,-0.0260551
14.5009,0.00236723,0.00848973,0.0115016
14.5109,0.0156855,-0.0115607,-0.00226703
14.5209,-0.00631045,-0.00647219,-0.0239664
14.5309,0.000573419,-0.0152999,0.0125429
14.5409,-0.00825458,-0.00572237,-0.0155908
14.5509,-0.00466277,-0.00946251,0.014185
14.5609,-0.00840318,-0.00616976,-0.0106567
14.5709,0.00416678,0.00864498,0.0135825
14.5809,0.0143425,0.018821,0.00116075
14.5909,0.015989,0.0111902,-0.0247283
14.6009,-0.00525902,0.0272019,0.0197119
14.6109,0.0138948,0.021217,0.0129764
14.6209,0.0239209,0.00311158,-0.00902202
14.6309,0.00327134,-0.00347188,-0.00154201
14.6409,0.00761111,-0.0076612,0.012522
14.6509,0.00416976,-0.00257307,-0.0190531
14.6609,0.00102765,0.00446031,-0.0106752
14.6709,0.00297316,-0.00047728,0.00668087
